,Unnamed: 0,cluster_name,container_base_image,container_name,labels,namespace_name,nodename,pod_name,time,type,value
34,34,default,,pods,,,minikube,,2019-03-13T15:46:00Z,sys_container,265660930642
35,35,default,k8s.gcr.io/heapster-amd64:v1.5.3,heapster,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:heapster,version:v1.5.3",kube-system,minikube,heapster-sqhwg,2019-03-13T15:46:00Z,pod_container,302747879
36,36,default,k8s.gcr.io/etcd-amd64:3.1.12,etcd,"component:etcd,tier:control-plane",kube-system,minikube,etcd-minikube,2019-03-13T15:46:00Z,pod_container,69810263047
37,37,default,,kubelet,,,minikube,,2019-03-13T15:46:00Z,sys_container,40085056819
38,38,default,k8s.gcr.io/k8s-dns-sidecar-amd64:1.14.8,sidecar,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:46:00Z,pod_container,450819606
39,39,default,,docker-daemon,,,minikube,,2019-03-13T15:46:00Z,sys_container,215253448279
40,40,default,k8s.gcr.io/k8s-dns-sidecar-amd64:1.14.8,sidecar,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:47:00Z,pod_container,628921998
41,41,default,,docker-daemon,,,minikube,,2019-03-13T15:47:00Z,sys_container,220935026378
42,42,default,k8s.gcr.io/heapster-influxdb-amd64:v1.3.3,influxdb,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:47:00Z,pod_container,446081566
43,43,default,k8s.gcr.io/kube-controller-manager-amd64:v1.10.0,kube-controller-manager,"component:kube-controller-manager,tier:control-plane",kube-system,minikube,kube-controller-manager-minikube,2019-03-13T15:47:00Z,pod_container,42499293662
44,44,default,k8s.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.14.8,dnsmasq,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:47:00Z,pod_container,2375443411
45,45,default,k8s.gcr.io/kubernetes-dashboard-amd64:v1.10.0,kubernetes-dashboard,"addonmanager.kubernetes.io/mode:Reconcile,app:kubernetes-dashboard,pod-template-hash:2907971843,version:v1.10.0",kube-system,minikube,kubernetes-dashboard-6f4cfc5d87-nj9l2,2019-03-13T15:47:00Z,pod_container,487887476
46,46,default,k8s.gcr.io/heapster-grafana-amd64:v4.4.3,grafana,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:47:00Z,pod_container,1671977693
47,47,default,gcr.io/kubernetes-helm/tiller:v2.12.3,tiller,"app:helm,name:tiller,pod-template-hash:3551410923",kube-system,minikube,tiller-deploy-7995854f67-9qmq9,2019-03-13T15:47:00Z,pod_container,619519767
48,48,default,,,"beta.kubernetes.io/arch:amd64,beta.kubernetes.io/os:linux,kubernetes.io/hostname:minikube,node-role.kubernetes.io/master:",,minikube,,2019-03-13T15:47:00Z,node,621420330847
49,49,default,blackflagxxx/abench-influxdb-client:latest,influxdb-client,"app:influxdb-client,pod-template-hash:3160545435",kube-system,minikube,influxdb-client-75b4989879-tl9mm,2019-03-13T15:47:00Z,pod_container,1005943215
50,50,default,,kubelet,,,minikube,,2019-03-13T15:47:00Z,sys_container,45805358309
51,51,default,gcr.io/k8s-minikube/storage-provisioner:v1.8.1,storage-provisioner,"addonmanager.kubernetes.io/mode:Reconcile,integration-test:storage-provisioner",kube-system,minikube,storage-provisioner,2019-03-13T15:47:00Z,pod_container,521560456
52,52,default,k8s.gcr.io/k8s-dns-kube-dns-amd64:1.14.8,kubedns,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:47:00Z,pod_container,746275469
53,53,default,k8s.gcr.io/kube-proxy-amd64:v1.10.0,kube-proxy,"controller-revision-hash:1193416634,k8s-app:kube-proxy,pod-template-generation:1",kube-system,minikube,kube-proxy-bd9mv,2019-03-13T15:47:00Z,pod_container,2824429103
54,54,default,k8s.gcr.io/kube-scheduler-amd64:v1.10.0,kube-scheduler,"component:kube-scheduler,tier:control-plane",kube-system,minikube,kube-scheduler-minikube,2019-03-13T15:47:00Z,pod_container,11099245029
55,55,default,k8s.gcr.io/kube-addon-manager:v8.6,kube-addon-manager,"component:kube-addon-manager,kubernetes.io/minikube-addons:addon-manager,version:v8.6",kube-system,minikube,kube-addon-manager-minikube,2019-03-13T15:47:00Z,pod_container,51470976914
56,56,default,k8s.gcr.io/etcd-amd64:3.1.12,etcd,"component:etcd,tier:control-plane",kube-system,minikube,etcd-minikube,2019-03-13T15:47:00Z,pod_container,72272118520
57,57,default,k8s.gcr.io/kube-apiserver-amd64:v1.10.0,kube-apiserver,"component:kube-apiserver,tier:control-plane",kube-system,minikube,kube-apiserver-minikube,2019-03-13T15:47:00Z,pod_container,53997905136
58,58,default,k8s.gcr.io/heapster-amd64:v1.5.3,heapster,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:heapster,version:v1.5.3",kube-system,minikube,heapster-sqhwg,2019-03-13T15:47:00Z,pod_container,344377908
59,59,default,,pods,,,minikube,,2019-03-13T15:47:00Z,sys_container,284887524948
60,60,default,k8s.gcr.io/heapster-amd64:v1.5.3,heapster,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:heapster,version:v1.5.3",kube-system,minikube,heapster-sqhwg,2019-03-13T15:48:00Z,pod_container,414011918
61,61,default,,pods,,,minikube,,2019-03-13T15:48:00Z,sys_container,303198010851
62,62,default,gcr.io/kubernetes-helm/tiller:v2.12.3,tiller,"app:helm,name:tiller,pod-template-hash:3551410923",kube-system,minikube,tiller-deploy-7995854f67-9qmq9,2019-03-13T15:48:00Z,pod_container,632629185
63,63,default,k8s.gcr.io/heapster-influxdb-amd64:v1.3.3,influxdb,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:48:00Z,pod_container,638032248
64,64,default,k8s.gcr.io/k8s-dns-sidecar-amd64:1.14.8,sidecar,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:48:00Z,pod_container,809091335
65,65,default,,docker-daemon,,,minikube,,2019-03-13T15:48:00Z,sys_container,225399156290
66,66,default,k8s.gcr.io/heapster-grafana-amd64:v4.4.3,grafana,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:48:00Z,pod_container,1730500751
67,67,default,k8s.gcr.io/kube-controller-manager-amd64:v1.10.0,kube-controller-manager,"component:kube-controller-manager,tier:control-plane",kube-system,minikube,kube-controller-manager-minikube,2019-03-13T15:48:00Z,pod_container,47974751251
68,68,default,k8s.gcr.io/kubernetes-dashboard-amd64:v1.10.0,kubernetes-dashboard,"addonmanager.kubernetes.io/mode:Reconcile,app:kubernetes-dashboard,pod-template-hash:2907971843,version:v1.10.0",kube-system,minikube,kubernetes-dashboard-6f4cfc5d87-nj9l2,2019-03-13T15:48:00Z,pod_container,529088901
69,69,default,k8s.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.14.8,dnsmasq,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:48:00Z,pod_container,2386047334
70,70,default,k8s.gcr.io/kube-apiserver-amd64:v1.10.0,kube-apiserver,"component:kube-apiserver,tier:control-plane",kube-system,minikube,kube-apiserver-minikube,2019-03-13T15:48:00Z,pod_container,58118907834
71,71,default,k8s.gcr.io/k8s-dns-kube-dns-amd64:1.14.8,kubedns,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:48:00Z,pod_container,820613919
72,72,default,,kubelet,,,minikube,,2019-03-13T15:48:00Z,sys_container,50158852275
73,73,default,,,"beta.kubernetes.io/arch:amd64,beta.kubernetes.io/os:linux,kubernetes.io/hostname:minikube,node-role.kubernetes.io/master:",,minikube,,2019-03-13T15:48:00Z,node,650806322984
74,74,default,blackflagxxx/abench-influxdb-client:latest,influxdb-client,"app:influxdb-client,pod-template-hash:3160545435",kube-system,minikube,influxdb-client-75b4989879-tl9mm,2019-03-13T15:48:00Z,pod_container,1085248928
75,75,default,gcr.io/k8s-minikube/storage-provisioner:v1.8.1,storage-provisioner,"addonmanager.kubernetes.io/mode:Reconcile,integration-test:storage-provisioner",kube-system,minikube,storage-provisioner,2019-03-13T15:48:00Z,pod_container,546069952
76,76,default,k8s.gcr.io/etcd-amd64:3.1.12,etcd,"component:etcd,tier:control-plane",kube-system,minikube,etcd-minikube,2019-03-13T15:48:00Z,pod_container,75236813840
77,77,default,k8s.gcr.io/kube-proxy-amd64:v1.10.0,kube-proxy,"controller-revision-hash:1193416634,k8s-app:kube-proxy,pod-template-generation:1",kube-system,minikube,kube-proxy-bd9mv,2019-03-13T15:48:00Z,pod_container,3080789300
78,78,default,k8s.gcr.io/kube-addon-manager:v8.6,kube-addon-manager,"component:kube-addon-manager,kubernetes.io/minikube-addons:addon-manager,version:v8.6",kube-system,minikube,kube-addon-manager-minikube,2019-03-13T15:48:00Z,pod_container,54226833964
79,79,default,k8s.gcr.io/kube-scheduler-amd64:v1.10.0,kube-scheduler,"component:kube-scheduler,tier:control-plane",kube-system,minikube,kube-scheduler-minikube,2019-03-13T15:48:00Z,pod_container,12541563937
80,80,default,k8s.gcr.io/kube-addon-manager:v8.6,kube-addon-manager,"component:kube-addon-manager,kubernetes.io/minikube-addons:addon-manager,version:v8.6",kube-system,minikube,kube-addon-manager-minikube,2019-03-13T15:49:00Z,pod_container,57349107178
81,81,default,k8s.gcr.io/kube-scheduler-amd64:v1.10.0,kube-scheduler,"component:kube-scheduler,tier:control-plane",kube-system,minikube,kube-scheduler-minikube,2019-03-13T15:49:00Z,pod_container,14098799043
82,82,default,k8s.gcr.io/kube-controller-manager-amd64:v1.10.0,kube-controller-manager,"component:kube-controller-manager,tier:control-plane",kube-system,minikube,kube-controller-manager-minikube,2019-03-13T15:49:00Z,pod_container,53952362109
83,83,default,gcr.io/kubernetes-helm/tiller:v2.12.3,tiller,"app:helm,name:tiller,pod-template-hash:3551410923",kube-system,minikube,tiller-deploy-7995854f67-9qmq9,2019-03-13T15:49:00Z,pod_container,652663408
84,84,default,k8s.gcr.io/heapster-amd64:v1.5.3,heapster,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:heapster,version:v1.5.3",kube-system,minikube,heapster-sqhwg,2019-03-13T15:49:00Z,pod_container,451890181
85,85,default,,pods,,,minikube,,2019-03-13T15:49:00Z,sys_container,319431757592
86,86,default,k8s.gcr.io/heapster-grafana-amd64:v4.4.3,grafana,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:49:00Z,pod_container,2091320057
87,87,default,k8s.gcr.io/heapster-influxdb-amd64:v1.3.3,influxdb,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:49:00Z,pod_container,955298126
88,88,default,,docker-daemon,,,minikube,,2019-03-13T15:49:00Z,sys_container,228710971536
89,89,default,k8s.gcr.io/k8s-dns-sidecar-amd64:1.14.8,sidecar,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:49:00Z,pod_container,994766207
90,90,default,k8s.gcr.io/kube-proxy-amd64:v1.10.0,kube-proxy,"controller-revision-hash:1193416634,k8s-app:kube-proxy,pod-template-generation:1",kube-system,minikube,kube-proxy-bd9mv,2019-03-13T15:49:00Z,pod_container,3392528115
91,91,default,,kubelet,,,minikube,,2019-03-13T15:49:00Z,sys_container,54550580734
92,92,default,k8s.gcr.io/kube-apiserver-amd64:v1.10.0,kube-apiserver,"component:kube-apiserver,tier:control-plane",kube-system,minikube,kube-apiserver-minikube,2019-03-13T15:49:00Z,pod_container,62767470187
93,93,default,k8s.gcr.io/kubernetes-dashboard-amd64:v1.10.0,kubernetes-dashboard,"addonmanager.kubernetes.io/mode:Reconcile,app:kubernetes-dashboard,pod-template-hash:2907971843,version:v1.10.0",kube-system,minikube,kubernetes-dashboard-6f4cfc5d87-nj9l2,2019-03-13T15:49:00Z,pod_container,546704051
94,94,default,k8s.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.14.8,dnsmasq,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:49:00Z,pod_container,2417101333
95,95,default,k8s.gcr.io/k8s-dns-kube-dns-amd64:1.14.8,kubedns,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:49:00Z,pod_container,893343979
96,96,default,k8s.gcr.io/etcd-amd64:3.1.12,etcd,"component:etcd,tier:control-plane",kube-system,minikube,etcd-minikube,2019-03-13T15:49:00Z,pod_container,77138798787
97,97,default,,,"beta.kubernetes.io/arch:amd64,beta.kubernetes.io/os:linux,kubernetes.io/hostname:minikube,node-role.kubernetes.io/master:",,minikube,,2019-03-13T15:49:00Z,node,675827266674
98,98,default,gcr.io/k8s-minikube/storage-provisioner:v1.8.1,storage-provisioner,"addonmanager.kubernetes.io/mode:Reconcile,integration-test:storage-provisioner",kube-system,minikube,storage-provisioner,2019-03-13T15:49:00Z,pod_container,593168606
99,99,default,blackflagxxx/abench-influxdb-client:latest,influxdb-client,"app:influxdb-client,pod-template-hash:3160545435",kube-system,minikube,influxdb-client-75b4989879-tl9mm,2019-03-13T15:49:00Z,pod_container,1159996731
100,100,default,gcr.io/k8s-minikube/storage-provisioner:v1.8.1,storage-provisioner,"addonmanager.kubernetes.io/mode:Reconcile,integration-test:storage-provisioner",kube-system,minikube,storage-provisioner,2019-03-13T15:50:00Z,pod_container,619489087
101,101,default,blackflagxxx/abench-influxdb-client:latest,influxdb-client,"app:influxdb-client,pod-template-hash:3160545435",kube-system,minikube,influxdb-client-75b4989879-tl9mm,2019-03-13T15:50:00Z,pod_container,1225124264
102,102,default,k8s.gcr.io/heapster-influxdb-amd64:v1.3.3,influxdb,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:50:00Z,pod_container,1073398080
103,103,default,k8s.gcr.io/kube-controller-manager-amd64:v1.10.0,kube-controller-manager,"component:kube-controller-manager,tier:control-plane",kube-system,minikube,kube-controller-manager-minikube,2019-03-13T15:50:00Z,pod_container,59257226218
104,104,default,k8s.gcr.io/kube-addon-manager:v8.6,kube-addon-manager,"component:kube-addon-manager,kubernetes.io/minikube-addons:addon-manager,version:v8.6",kube-system,minikube,kube-addon-manager-minikube,2019-03-13T15:50:00Z,pod_container,58279505729
105,105,default,k8s.gcr.io/kube-scheduler-amd64:v1.10.0,kube-scheduler,"component:kube-scheduler,tier:control-plane",kube-system,minikube,kube-scheduler-minikube,2019-03-13T15:50:00Z,pod_container,15461666281
106,106,default,k8s.gcr.io/heapster-grafana-amd64:v4.4.3,grafana,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:50:00Z,pod_container,2146386920
107,107,default,gcr.io/kubernetes-helm/tiller:v2.12.3,tiller,"app:helm,name:tiller,pod-template-hash:3551410923",kube-system,minikube,tiller-deploy-7995854f67-9qmq9,2019-03-13T15:50:00Z,pod_container,663714699
108,108,default,,pods,,,minikube,,2019-03-13T15:50:00Z,sys_container,336192789893
109,109,default,k8s.gcr.io/heapster-amd64:v1.5.3,heapster,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:heapster,version:v1.5.3",kube-system,minikube,heapster-sqhwg,2019-03-13T15:50:00Z,pod_container,497731121
110,110,default,,,"beta.kubernetes.io/arch:amd64,beta.kubernetes.io/os:linux,kubernetes.io/hostname:minikube,node-role.kubernetes.io/master:",,minikube,,2019-03-13T15:50:00Z,node,701335138137
111,111,default,k8s.gcr.io/kube-apiserver-amd64:v1.10.0,kube-apiserver,"component:kube-apiserver,tier:control-plane",kube-system,minikube,kube-apiserver-minikube,2019-03-13T15:50:00Z,pod_container,67005556972
112,112,default,k8s.gcr.io/kube-proxy-amd64:v1.10.0,kube-proxy,"controller-revision-hash:1193416634,k8s-app:kube-proxy,pod-template-generation:1",kube-system,minikube,kube-proxy-bd9mv,2019-03-13T15:50:00Z,pod_container,3746448523
113,113,default,,docker-daemon,,,minikube,,2019-03-13T15:50:00Z,sys_container,233718098181
114,114,default,k8s.gcr.io/k8s-dns-sidecar-amd64:1.14.8,sidecar,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:50:00Z,pod_container,1175809166
115,115,default,,kubelet,,,minikube,,2019-03-13T15:50:00Z,sys_container,59102996854
116,116,default,k8s.gcr.io/etcd-amd64:3.1.12,etcd,"component:etcd,tier:control-plane",kube-system,minikube,etcd-minikube,2019-03-13T15:50:00Z,pod_container,79634233071
117,117,default,k8s.gcr.io/kubernetes-dashboard-amd64:v1.10.0,kubernetes-dashboard,"addonmanager.kubernetes.io/mode:Reconcile,app:kubernetes-dashboard,pod-template-hash:2907971843,version:v1.10.0",kube-system,minikube,kubernetes-dashboard-6f4cfc5d87-nj9l2,2019-03-13T15:50:00Z,pod_container,598569881
118,118,default,k8s.gcr.io/k8s-dns-kube-dns-amd64:1.14.8,kubedns,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:50:00Z,pod_container,981885228
119,119,default,k8s.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.14.8,dnsmasq,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:50:00Z,pod_container,2433730451
120,120,default,k8s.gcr.io/k8s-dns-kube-dns-amd64:1.14.8,kubedns,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:51:00Z,pod_container,1083181449
121,121,default,k8s.gcr.io/k8s-dns-dnsmasq-nanny-amd64:1.14.8,dnsmasq,"k8s-app:kube-dns,pod-template-hash:4290830601",kube-system,minikube,kube-dns-86f4d74b45-mfgg8,2019-03-13T15:51:00Z,pod_container,2497295743
122,122,default,gcr.io/kubernetes-helm/tiller:v2.12.3,tiller,"app:helm,name:tiller,pod-template-hash:3551410923",kube-system,minikube,tiller-deploy-7995854f67-9qmq9,2019-03-13T15:51:00Z,pod_container,694758267
123,123,default,k8s.gcr.io/heapster-influxdb-amd64:v1.3.3,influxdb,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:51:00Z,pod_container,3004267482
124,124,default,gcr.io/k8s-minikube/storage-provisioner:v1.8.1,storage-provisioner,"addonmanager.kubernetes.io/mode:Reconcile,integration-test:storage-provisioner",kube-system,minikube,storage-provisioner,2019-03-13T15:51:00Z,pod_container,670858685
125,125,default,blackflagxxx/abench-influxdb-client:latest,influxdb-client,"app:influxdb-client,pod-template-hash:3160545435",kube-system,minikube,influxdb-client-75b4989879-tl9mm,2019-03-13T15:51:00Z,pod_container,1290400509
126,126,default,k8s.gcr.io/heapster-grafana-amd64:v4.4.3,grafana,"addonmanager.kubernetes.io/mode:Reconcile,k8s-app:influx-grafana",kube-system,minikube,influxdb-grafana-5hmvj,2019-03-13T15:51:00Z,pod_container,2666234495
